21:/04:/33:/601288, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/04:/041158, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/04:/461153, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/04:/881144, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/05:/301194, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/05:/661186, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/06:/081134, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/06:/501177, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 21:/06:/06:/861148, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 19:/59:/14:/865912, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/19:/363335, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/19:/723336, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/20:/083420, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/20:/503345, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/20:/923342, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/21:/343357, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/21:/703376, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/22:/123375, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/22:/543462, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/22:/903349, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/23:/323338, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/23:/743344, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/24:/103334, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/24:/523365, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/24:/943349, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/25:/363371, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/25:/723355, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/26:/143446, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/26:/563359, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/26:/923351, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/27:/343369, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/27:/763327, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/28:/123302, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/28:/543345, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/38:/483342, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/38:/843341, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/39:/203377, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/39:/623320, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/40:/043376, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/40:/403327, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/40:/823352, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/41:/243359, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/41:/603355, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/42:/023325, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/42:/443348, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/42:/863334, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/43:/223331, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/43:/643359, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/44:/063332, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/44:/423321, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/44:/843352, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/45:/263367, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/45:/683343, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/02:/46:/043365, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/08:/173333, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/08:/593351, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/09:/013314, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/09:/373352, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/09:/793343, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/10:/213331, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/10:/573347, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/10:/993366, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/11:/413327, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/11:/833340, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/12:/193382, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/12:/613317, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/13:/033340, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/13:/393389, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/13:/813345, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/14:/233341, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/14:/593337, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/15:/013325, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/15:/433376, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/15:/853382, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/16:/213384, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/16:/633339, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/17:/053361, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/17:/413344, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/17:/833341, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 20:/03:/18:/253320, tvel : 10.000000, cvel : 0.000000, plus_margin : 4, minus_margin : 4, state : 0
 
